Order_ID  Purchase_amount    Order_date  Customer_id  Salesman_id

0    70001     150.50  2023-10-05         3002         5002

1    70009     270.65  2023-09-10         3001         5003

2    70002      65.26  2023-10-05         3001         5001

3    70004     110.50  2022-08-17         3003         5003

4    70007     948.50  2022-09-10         3002         5002

5    70005    2400.60  2022-07-27         3002         5001

6    70008    5760.00  2022-09-10         3001         5001

7    70010    1983.43  2022-10-10         3004         5003

8    70003    2480.40  2022-10-10         3003         5003

9    70012     250.45  2022-06-27         3002         5002

10   70011      75.29  2022-08-17         3003         5003

11   70013    3045.60  2022-04-25         3001         5001
